Run,BioProject,Sample
SRR1972823,PRJNA257197,SRS803859
SRR1972824,PRJNA257197,SRS804025
SRR1972825,PRJNA257197,SRS804042
SRR1972826,PRJNA257197,SRS803923
SRR1972817,PRJNA257197,SRS804001
SRR1972818,PRJNA257197,SRS803916
SRR1972819,PRJNA257197,SRS803825
SRR1972820,PRJNA257197,SRS803937
SRR1972821,PRJNA257197,SRS803802
SRR1972812,PRJNA257197,SRS803891
SRR1972813,PRJNA257197,SRS908588
SRR1972814,PRJNA257197,SRS908587
SRR1972815,PRJNA257197,SRS908586
SRR1972816,PRJNA257197,SRS803816
SRR1972807,PRJNA257197,SRS804038
SRR1972808,PRJNA257197,SRS803784
SRR1972809,PRJNA257197,SRS803864
SRR1972810,PRJNA257197,SRS804017
SRR1972811,PRJNA257197,SRS803783
SRR1972802,PRJNA257197,SRS803822
SRR1972803,PRJNA257197,SRS803944
SRR1972804,PRJNA257197,SRS803994
SRR1972805,PRJNA257197,SRS803950
SRR1972806,PRJNA257197,SRS803819
SRR1972797,PRJNA257197,SRS908593
SRR1972798,PRJNA257197,SRS908592
SRR1972799,PRJNA257197,SRS908591
SRR1972800,PRJNA257197,SRS908590
SRR1972801,PRJNA257197,SRS908589
SRR1972796,PRJNA257197,SRS908594
SRR1972795,PRJNA257197,SRS908595
SRR1972793,PRJNA257197,SRS908596
SRR1972794,PRJNA257197,SRS908597
SRR1972792,PRJNA257197,SRS908599
SRR1972791,PRJNA257197,SRS908598
SRR1972790,PRJNA257197,SRS908600
SRR1972789,PRJNA257197,SRS908601
SRR1972787,PRJNA257197,SRS908602
SRR1972788,PRJNA257197,SRS908603
SRR1972782,PRJNA257197,SRS908608
SRR1972783,PRJNA257197,SRS908607
SRR1972784,PRJNA257197,SRS908606
SRR1972785,PRJNA257197,SRS908605
SRR1972786,PRJNA257197,SRS908604
SRR1972781,PRJNA257197,SRS908609
SRR1972780,PRJNA257197,SRS908610
SRR1972779,PRJNA257197,SRS908611
SRR1972778,PRJNA257197,SRS908612
SRR1972777,PRJNA257197,SRS908613
SRR1972772,PRJNA257197,SRS908618
SRR1972773,PRJNA257197,SRS908617
SRR1972774,PRJNA257197,SRS908616
SRR1972775,PRJNA257197,SRS908614
SRR1972776,PRJNA257197,SRS908615
SRR1972767,PRJNA257197,SRS908622
SRR1972768,PRJNA257197,SRS908623
SRR1972769,PRJNA257197,SRS908621
SRR1972770,PRJNA257197,SRS908620
SRR1972771,PRJNA257197,SRS908619
SRR1972762,PRJNA257197,SRS908633
SRR1972763,PRJNA257197,SRS908632
SRR1972764,PRJNA257197,SRS908630
SRR1972765,PRJNA257197,SRS908631
SRR1972766,PRJNA257197,SRS908624
SRR1972761,PRJNA257197,SRS908634
SRR1972760,PRJNA257197,SRS908635
SRR1972759,PRJNA257197,SRS908636
SRR1972758,PRJNA257197,SRS908637
SRR1972757,PRJNA257197,SRS908638
SRR1972756,PRJNA257197,SRS908639
SRR1972755,PRJNA257197,SRS908640
SRR1972753,PRJNA257197,SRS908641
SRR1972754,PRJNA257197,SRS908642
SRR1972752,PRJNA257197,SRS908643
SRR1972751,PRJNA257197,SRS908644
SRR1972750,PRJNA257197,SRS908645
SRR1972749,PRJNA257197,SRS908646
SRR1972748,PRJNA257197,SRS908647
SRR1972747,PRJNA257197,SRS908648
SRR1972742,PRJNA257197,SRS908654
SRR1972743,PRJNA257197,SRS908652
SRR1972744,PRJNA257197,SRS908650
SRR1972745,PRJNA257197,SRS908651
SRR1972746,PRJNA257197,SRS908649
SRR1972741,PRJNA257197,SRS908653
SRR1972740,PRJNA257197,SRS908655
SRR1972739,PRJNA257197,SRS908656
SRR1972738,PRJNA257197,SRS908657
SRR1972737,PRJNA257197,SRS908658
SRR1972732,PRJNA257197,SRS908664
SRR1972733,PRJNA257197,SRS908662
SRR1972734,PRJNA257197,SRS908661
SRR1972735,PRJNA257197,SRS908660
SRR1972736,PRJNA257197,SRS908659
SRR1972731,PRJNA257197,SRS908663
SRR1972730,PRJNA257197,SRS908665
SRR1972729,PRJNA257197,SRS908666
SRR1972728,PRJNA257197,SRS908667
SRR1972727,PRJNA257197,SRS908668
SRR1972722,PRJNA257197,SRS908673
SRR1972723,PRJNA257197,SRS908672
SRR1972724,PRJNA257197,SRS908671
SRR1972725,PRJNA257197,SRS908670
SRR1972726,PRJNA257197,SRS908669
SRR1972721,PRJNA257197,SRS908674
SRR1972720,PRJNA257197,SRS908675
SRR1972718,PRJNA257197,SRS908676
SRR1972719,PRJNA257197,SRS908677
SRR1972717,PRJNA257197,SRS908678
SRR1972715,PRJNA257197,SRS908679
SRR1972716,PRJNA257197,SRS908680
SRR1972714,PRJNA257197,SRS908681
SRR1972712,PRJNA257197,SRS908682
SRR1972713,PRJNA257197,SRS908683
SRR1972707,PRJNA257197,SRS908688
SRR1972708,PRJNA257197,SRS908687
SRR1972709,PRJNA257197,SRS908686
SRR1972710,PRJNA257197,SRS908684
SRR1972711,PRJNA257197,SRS908685
SRR1972702,PRJNA257197,SRS908692
SRR1972703,PRJNA257197,SRS908693
