Run,BioProject,Sample
SRR1613378,PRJNA257197,SRS722185
SRR1613382,PRJNA257197,SRS722185
SRR1613379,PRJNA257197,SRS722186
SRR1613380,PRJNA257197,SRS722187
SRR1564834,PRJNA257197,SRS694116
SRR1564835,PRJNA257197,SRS694117
SRR1564836,PRJNA257197,SRS694118
SRR1564837,PRJNA257197,SRS694119
SRR1613377,PRJNA257197,SRS722184
SRR1564829,PRJNA257197,SRS694111
SRR1564830,PRJNA257197,SRS694112
SRR1564831,PRJNA257197,SRS694113
SRR1564832,PRJNA257197,SRS694114
SRR1564833,PRJNA257197,SRS694115
SRR1564824,PRJNA257197,SRS694106
SRR1564826,PRJNA257197,SRS694107
SRR1564825,PRJNA257197,SRS694108
SRR1564828,PRJNA257197,SRS694109
SRR1564827,PRJNA257197,SRS694110
SRR1564819,PRJNA257197,SRS694101
SRR1564820,PRJNA257197,SRS694102
SRR1564821,PRJNA257197,SRS694103
SRR1564822,PRJNA257197,SRS694104
SRR1564823,PRJNA257197,SRS694105
SRR1564814,PRJNA257197,SRS694096
SRR1564815,PRJNA257197,SRS694097
SRR1564816,PRJNA257197,SRS694098
SRR1564817,PRJNA257197,SRS694099
SRR1564818,PRJNA257197,SRS694100
SRR1564809,PRJNA257197,SRS694091
SRR1564810,PRJNA257197,SRS694092
SRR1564811,PRJNA257197,SRS694093
SRR1564812,PRJNA257197,SRS694094
SRR1564813,PRJNA257197,SRS694095
SRR1564804,PRJNA257197,SRS694086
SRR1564805,PRJNA257197,SRS694087
SRR1564806,PRJNA257197,SRS694088
SRR1564807,PRJNA257197,SRS694089
SRR1564808,PRJNA257197,SRS694090
SRR1553607,PRJNA257197,SRS677967
SRR1553608,PRJNA257197,SRS677967
SRR1553609,PRJNA257197,SRS677968
SRR1553610,PRJNA257197,SRS677968
SRR1564803,PRJNA257197,SRS694085
SRR1553601,PRJNA257197,SRS677964
SRR1553603,PRJNA257197,SRS677965
SRR1553604,PRJNA257197,SRS677965
SRR1553605,PRJNA257197,SRS677966
SRR1553606,PRJNA257197,SRS677966
SRR1553597,PRJNA257197,SRS677962
SRR1553598,PRJNA257197,SRS677962
SRR1553599,PRJNA257197,SRS677963
SRR1553600,PRJNA257197,SRS677963
SRR1553602,PRJNA257197,SRS677964
SRR1553591,PRJNA257197,SRS677959
SRR1553593,PRJNA257197,SRS677960
SRR1553594,PRJNA257197,SRS677960
SRR1553595,PRJNA257197,SRS677961
SRR1553596,PRJNA257197,SRS677961
SRR1553587,PRJNA257197,SRS677957
SRR1553588,PRJNA257197,SRS677957
SRR1553589,PRJNA257197,SRS677958
SRR1553590,PRJNA257197,SRS677958
SRR1553592,PRJNA257197,SRS677959
SRR1553581,PRJNA257197,SRS677954
SRR1553583,PRJNA257197,SRS677955
SRR1553584,PRJNA257197,SRS677955
SRR1553585,PRJNA257197,SRS677956
SRR1553586,PRJNA257197,SRS677956
SRR1553577,PRJNA257197,SRS677952
SRR1553578,PRJNA257197,SRS677952
SRR1553579,PRJNA257197,SRS677953
SRR1553580,PRJNA257197,SRS677953
SRR1553582,PRJNA257197,SRS677954
SRR1553571,PRJNA257197,SRS677949
SRR1553573,PRJNA257197,SRS677950
SRR1553574,PRJNA257197,SRS677950
SRR1553575,PRJNA257197,SRS677951
SRR1553576,PRJNA257197,SRS677951
SRR1553567,PRJNA257197,SRS677947
SRR1553568,PRJNA257197,SRS677947
SRR1553569,PRJNA257197,SRS677948
SRR1553570,PRJNA257197,SRS677948
SRR1553572,PRJNA257197,SRS677949
SRR1553561,PRJNA257197,SRS677944
SRR1553563,PRJNA257197,SRS677945
SRR1553564,PRJNA257197,SRS677945
SRR1553565,PRJNA257197,SRS677946
SRR1553566,PRJNA257197,SRS677946
SRR1553557,PRJNA257197,SRS677942
SRR1553558,PRJNA257197,SRS677942
SRR1553559,PRJNA257197,SRS677943
SRR1553560,PRJNA257197,SRS677943
SRR1553562,PRJNA257197,SRS677944
SRR1553551,PRJNA257197,SRS677939
SRR1553553,PRJNA257197,SRS677940
SRR1553554,PRJNA257197,SRS677940
SRR1553555,PRJNA257197,SRS677941
SRR1553556,PRJNA257197,SRS677941
SRR1553547,PRJNA257197,SRS677937
SRR1553548,PRJNA257197,SRS677937
SRR1553549,PRJNA257197,SRS677938
SRR1553550,PRJNA257197,SRS677938
SRR1553552,PRJNA257197,SRS677939
SRR1553541,PRJNA257197,SRS677934
SRR1553543,PRJNA257197,SRS677935
SRR1553544,PRJNA257197,SRS677935
SRR1553546,PRJNA257197,SRS677936
SRR1553545,PRJNA257197,SRS677936
SRR1553537,PRJNA257197,SRS677932
SRR1553538,PRJNA257197,SRS677932
SRR1553539,PRJNA257197,SRS677933
SRR1553540,PRJNA257197,SRS677933
SRR1553542,PRJNA257197,SRS677934
SRR1553531,PRJNA257197,SRS677929
SRR1553533,PRJNA257197,SRS677930
SRR1553534,PRJNA257197,SRS677930
SRR1553536,PRJNA257197,SRS677931
SRR1553535,PRJNA257197,SRS677931
SRR1553527,PRJNA257197,SRS677927
SRR1553528,PRJNA257197,SRS677927
SRR1553529,PRJNA257197,SRS677928
SRR1553530,PRJNA257197,SRS677928
SRR1553532,PRJNA257197,SRS677929
SRR1553521,PRJNA257197,SRS677924
SRR1553523,PRJNA257197,SRS677925
SRR1553524,PRJNA257197,SRS677925
SRR1553525,PRJNA257197,SRS677926
SRR1553526,PRJNA257197,SRS677926
SRR1553517,PRJNA257197,SRS677922
SRR1553518,PRJNA257197,SRS677922
SRR1553519,PRJNA257197,SRS677923
SRR1553520,PRJNA257197,SRS677923
SRR1553522,PRJNA257197,SRS677924
SRR1553511,PRJNA257197,SRS677919
SRR1553513,PRJNA257197,SRS677920
SRR1553514,PRJNA257197,SRS677920
SRR1553515,PRJNA257197,SRS677921
SRR1553516,PRJNA257197,SRS677921
SRR1553507,PRJNA257197,SRS677917
SRR1553508,PRJNA257197,SRS677917
SRR1553509,PRJNA257197,SRS677918
SRR1553510,PRJNA257197,SRS677918
SRR1553512,PRJNA257197,SRS677919
SRR1553501,PRJNA257197,SRS677914
SRR1553503,PRJNA257197,SRS677915
SRR1553504,PRJNA257197,SRS677915
SRR1553505,PRJNA257197,SRS677916
SRR1553506,PRJNA257197,SRS677916
SRR1553497,PRJNA257197,SRS677912
SRR1553498,PRJNA257197,SRS677912
SRR1553499,PRJNA257197,SRS677913
SRR1553500,PRJNA257197,SRS677913
SRR1553502,PRJNA257197,SRS677914
SRR1553491,PRJNA257197,SRS677909
SRR1553493,PRJNA257197,SRS677910
SRR1553494,PRJNA257197,SRS677910
SRR1553495,PRJNA257197,SRS677911
SRR1553496,PRJNA257197,SRS677911
SRR1553487,PRJNA257197,SRS677907
SRR1553488,PRJNA257197,SRS677907
SRR1553489,PRJNA257197,SRS677908
SRR1553490,PRJNA257197,SRS677908
SRR1553492,PRJNA257197,SRS677909
SRR1553481,PRJNA257197,SRS677904
SRR1553483,PRJNA257197,SRS677905
SRR1553484,PRJNA257197,SRS677905
SRR1553486,PRJNA257197,SRS677906
SRR1553485,PRJNA257197,SRS677906
SRR1553477,PRJNA257197,SRS677902
SRR1553478,PRJNA257197,SRS677902
SRR1553479,PRJNA257197,SRS677903
SRR1553480,PRJNA257197,SRS677903
SRR1553482,PRJNA257197,SRS677904
SRR1553471,PRJNA257197,SRS677899
SRR1553473,PRJNA257197,SRS677900
SRR1553474,PRJNA257197,SRS677900
SRR1553475,PRJNA257197,SRS677901
SRR1553476,PRJNA257197,SRS677901
SRR1553467,PRJNA257197,SRS677897
SRR1553468,PRJNA257197,SRS677897
SRR1553469,PRJNA257197,SRS677898
SRR1553470,PRJNA257197,SRS677898
SRR1553472,PRJNA257197,SRS677899
SRR1553461,PRJNA257197,SRS677894
SRR1553463,PRJNA257197,SRS677895
SRR1553464,PRJNA257197,SRS677895
SRR1553466,PRJNA257197,SRS677896
SRR1553465,PRJNA257197,SRS677896
SRR1553457,PRJNA257197,SRS677892
SRR1553458,PRJNA257197,SRS677892
SRR1553459,PRJNA257197,SRS677893
SRR1553460,PRJNA257197,SRS677893
SRR1553462,PRJNA257197,SRS677894
SRR1553451,PRJNA257197,SRS677889
SRR1553453,PRJNA257197,SRS677890
SRR1553454,PRJNA257197,SRS677890
SRR1553456,PRJNA257197,SRS677891
SRR1553455,PRJNA257197,SRS677891
SRR1553447,PRJNA257197,SRS677887
SRR1553448,PRJNA257197,SRS677887
SRR1553449,PRJNA257197,SRS677888
SRR1553450,PRJNA257197,SRS677888
SRR1553452,PRJNA257197,SRS677889
SRR1553441,PRJNA257197,SRS677884
SRR1553443,PRJNA257197,SRS677885
SRR1553444,PRJNA257197,SRS677885
SRR1553445,PRJNA257197,SRS677886
SRR1553446,PRJNA257197,SRS677886
SRR1553437,PRJNA257197,SRS677882
SRR1553438,PRJNA257197,SRS677882
SRR1553439,PRJNA257197,SRS677883
SRR1553440,PRJNA257197,SRS677883
SRR1553442,PRJNA257197,SRS677884
SRR1553431,PRJNA257197,SRS677879
SRR1553433,PRJNA257197,SRS677880
SRR1553434,PRJNA257197,SRS677880
SRR1553436,PRJNA257197,SRS677881
SRR1553435,PRJNA257197,SRS677881
SRR1553427,PRJNA257197,SRS677877
SRR1553428,PRJNA257197,SRS677877
SRR1553429,PRJNA257197,SRS677878
SRR1553430,PRJNA257197,SRS677878
SRR1553432,PRJNA257197,SRS677879
SRR1553421,PRJNA257197,SRS677874
SRR1553423,PRJNA257197,SRS677875
SRR1553424,PRJNA257197,SRS677875
SRR1553425,PRJNA257197,SRS677876
SRR1553426,PRJNA257197,SRS677876
SRR1553416,PRJNA257197,SRS677871
SRR1553418,PRJNA257197,SRS677872
SRR1553419,PRJNA257197,SRS677872
SRR1553420,PRJNA257197,SRS677873
SRR1553422,PRJNA257197,SRS677874
SRR1553417,PRJNA257197,SRS677969
